"","word","sentiment","n"
"522","smartest","positive",4
"523","smile","positive",4
"524","stole","negative",4
"525","strange","negative",4
"526","stressful","negative",4
"527","stump","negative",4
"528","sue","negative",4
"529","sully","negative",4
"530","thrive","positive",4
"531","throttle","negative",4
"532","trapped","negative",4
"533","uncomfortable","negative",4
"534","unity","positive",4
"535","unproven","negative",4
"536","whoa","positive",4
"537","absurd","negative",3
"538","achievable","positive",3
"539","advantages","positive",3
"540","agile","positive",3
"541","angel","positive",3
"542","anxiety","negative",3
"543","beg","negative",3
"544","biased","negative",3
"545","bomb","negative",3
"546","boredom","negative",3
"547","captivating","positive",3
"548","celebrated","positive",3
"549","charming","positive",3
"550","comfortably","positive",3
"551","confuse","negative",3
"552","cons","negative",3
"553","conservative","negative",3
"554","controversial","negative",3
"555","convenience","positive",3
"556","crushing","negative",3
"557","darker","negative",3
"558","darkness","negative",3
"559","dawn","positive",3
"560","demise","negative",3
"561","devastating","negative",3
"562","died","negative",3
"563","difficulties","negative",3
"564","difficulty","negative",3
"565","distinction","positive",3
"566","doomed","negative",3
"567","downside","negative",3
"568","dying","negative",3
"569","eager","positive",3
"570","encouraging","positive",3
"571","enemy","negative",3
"572","enjoying","positive",3
"573","evade","negative",3
"574","exceed","positive",3
"575","explosive","negative",3
"576","fabulous","positive",3
"577","failures","negative",3
"578","famous","positive",3
"579","flawed","negative",3
"580","frost","negative",3
"581","fulfillment","positive",3
"582","fury","negative",3
"583","glitches","negative",3
"584","grateful","positive",3
"585","gross","negative",3
"586","groundbreaking","positive",3
"587","hilarious","positive",3
"588","hostile","negative",3
"589","humble","positive",3
"590","hurting","negative",3
"591","idle","negative",3
"592","impaired","negative",3
"593","improves","positive",3
"594","inefficiency","negative",3
"595","inefficient","negative",3
"596","inspiration","positive",3
"597","inspire","positive",3
"598","interests","positive",3
"599","intriguing","positive",3
"600","ironic","negative",3
"601","isolation","negative",3
"602","joke","negative",3
"603","keen","positive",3
"604","lacking","negative",3
"605","lagging","negative",3
"606","lame","negative",3
"607","lean","positive",3
"608","legendary","positive",3
"609","lethal","negative",3
"610","losing","negative",3
"611","loving","positive",3
"612","lying","negative",3
"613","mar","negative",3
"614","misses","negative",3
"615","mistake","negative",3
"616","modest","positive",3
"617","morality","positive",3
"618","murder","negative",3
"619","myth","negative",3
"620","odd","negative",3
"621","oversight","negative",3
"622","overtake","positive",3
"623","passion","positive",3
"624","passionate","positive",3
"625","pigs","negative",3
"626","plague","negative",3
"627","plot","negative",3
"628","poorly","negative",3
"629","precisely","positive",3
"630","prison","negative",3
"631","properly","positive",3
"632","protesting","negative",3
"633","quicker","positive",3
"634","rational","positive",3
"635","recommendations","positive",3
"636","relaxed","positive",3
"637","reliably","positive",3
"638","revive","positive",3
"639","revolutionized","positive",3
"640","risky","negative",3
"641","saint","positive",3
"642","scariest","negative",3
"643","scary","negative",3
"644","selfish","negative",3
"645","sensible","positive",3
"646","setback","negative",3
"647","shake","negative",3
"648","sick","negative",3
"649","simpler","positive",3
"650","steals","negative",3
"651","stress","negative",3
"652","strict","negative",3
"653","strongest","positive",3
"654","succeed","positive",3
"655","suck","negative",3
"656","sues","negative",3
"657","sufficiently","positive",3
"658","suitable","positive",3
"659","surpass","positive",3
"660","suspect","negative",3
"661","swift","positive",3
"662","threaten","negative",3
"663","thriving","positive",3
"664","tops","positive",3
"665","toughest","positive",3
"666","tragic","negative",3
"667","unethical","negative",3
"668","unleash","negative",3
"669","unlimited","positive",3
"670","unpredictable","negative",3
"671","unreal","positive",3
"672","unsafe","negative",3
"673","uprising","negative",3
"674","utterly","negative",3
"675","vigilance","positive",3
"676","wasting","negative",3
"677","weak","negative",3
"678","wonders","positive",3
"679","abolish","negative",2
"680","accomplish","positive",2
"681","accomplished","positive",2
"682","achievements","positive",2
"683","adaptable","positive",2
"684","alarm","negative",2
"685","amazed","positive",2
"686","amazingly","positive",2
"687","amusing","positive",2
"688","apocalypse","negative",2
"689","applaud","positive",2
"690","appreciate","positive",2
"691","appreciated","positive",2
"692","assault","negative",2
"693","attractive","positive",2
"694","audible","positive",2
"695","awful","negative",2
"696","badly","negative",2
"697","beauty","positive",2
"698","biases","negative",2
"699","bloom","positive",2
"700","blunt","negative",2
"701","bogus","negative",2
"702","bolster","positive",2
"703","bonus","positive",2
"704","bother","negative",2
"705","bravo","positive",2
"706","buckle","negative",2
"707","bugs","negative",2
"708","bully","negative",2
"709","bumped","negative",2
"710","bumps","negative",2
"711","burn","negative",2
"712","burns","negative",2
"713","calm","positive",2
"714","cave","negative",2
"715","celebrate","positive",2
"716","chaos","negative",2
"717","cheapest","positive",2
"718","cheats","negative",2
"719","cheer","positive",2
"720","chic","positive",2
"721","chill","negative",2
"722","clarity","positive",2
"723","complacent","negative",2
"724","conflict","negative",2
"725","conflicts","negative",2
"726","confusion","negative",2
"727","conspiracy","negative",2
"728","convenient","positive",2
"729","costly","negative",2
"730","cracked","negative",2
"731","cripple","negative",2
"732","crush","negative",2
"733","dazzle","positive",2
"734","debt","negative",2
"735","defiant","negative",2
"736","delayed","negative",2
"737","delusional","negative",2
"738","deny","negative",2
"739","dependable","positive",2
"740","depression","negative",2
"741","destiny","positive",2
"742","destruction","negative",2
"743","dick","negative",2
"744","dirty","negative",2
"745","disappointed","negative",2
"746","disastrous","negative",2
"747","discrimination","negative",2
"748","disillusionment","negative",2
"749","displaced","negative",2
"750","distract","negative",2
"751","dominated","positive",2
"752","doubts","negative",2
"753","downsides","negative",2
"754","dull","negative",2
"755","easiest","positive",2
"756","effectively","positive",2
"757","empowerment","positive",2
"758","enchanted","positive",2
"759","enhances","positive",2
"760","enjoyable","positive",2
"761","enthusiasm","positive",2
"762","envy","positive",2
"763","errors","negative",2
"764","evil","negative",2
"765","exhaust","negative",2
"766","expensive","negative",2
"767","extraordinary","positive",2
